sensitive,feature,metric,association,p_value,p_adj,significant_fdr_5pct,proxy_flag
Gender,skill_networking,cramers_v,0.009109345320578473,0.3262040007065102,0.43151395369050166,False,False
Gender,skill_presentation,cramers_v,0.015699679201087408,0.03588345279308205,0.10047366782062973,False,False
Gender,skill_python,cramers_v,0.011526848681343991,0.16634002420022168,0.2687031160157427,False,False
Gender,skill_r,cramers_v,0.012674833721108053,0.11431539440074648,0.21810729610636728,False,False
Gender,skill_recruitment,cramers_v,0.004610163057449119,0.7505690355075962,0.7983532389478307,False,False
Gender,skill_scheduling,cramers_v,0.0028171381450518462,0.8984002395366242,0.914734789346381,False,False
Gender,skill_scrum,cramers_v,0.018032461257739236,0.012403328727127105,0.043655843708112,True,False
Gender,skill_sql,cramers_v,0.008424784911108808,0.38358673733362947,0.4809147154630578,False,False
Gender,skill_statistics,cramers_v,0.020442062902661325,0.003548067704873142,0.016789720724773846,True,False
Race,Gender,cramers_v,0.05092686861086488,2.315069124710576e-26,3.8893161295138246e-25,True,False
Race,Age_Group,cramers_v,0.04045246469690027,3.803765508956369e-29,7.987907568808375e-28,True,False
Race,Education,cramers_v,0.03583467411365468,9.072536972703998e-17,1.3856238285584288e-15,True,False
Race,Job_Role_Applied,cramers_v,0.024673256640786567,5.4770353411080233e-08,5.111899651700822e-07,True,False
Race,Certifications,cramers_v,0.032197299920044505,1.90024458825705e-16,2.6603424235598702e-15,True,False
Race,Experience_Years,point_biserial_o-v-r,0.034328037049598775,1.6801416794440635e-08,1.881758680977351e-07,True,False
Race,Screening_Score,point_biserial_o-v-r,0.02186775882795688,0.0003262622114521509,0.002383132674954841,True,False
Race,skill__agile,cramers_v,0.008564941350682077,0.7393140230002739,0.7983532389478307,False,False
Race,skill__aws,cramers_v,0.013704691326185209,0.28007956108242443,0.3921113855153942,False,False
Race,skill__budgeting,cramers_v,0.009321600369818639,0.6723907245406473,0.7431686955449259,False,False
Race,skill__c++,cramers_v,0.018677357794633934,0.05144316328918618,0.1289918124266161,False,False
Race,skill__cold_calling,cramers_v,0.014291066374221693,0.23847241384025963,0.34743819385455366,False,False
Race,skill__communication,cramers_v,0.018440568227936813,0.05672016546046297,0.13612839710511113,False,False
Race,skill__conflict_resolution,cramers_v,0.028538912334401253,0.0002012786345964535,0.0015370368460092812,True,False
Race,skill__crm,cramers_v,0.0274349581620742,0.00043130262233244187,0.0028983536220740093,True,False
Race,skill__deep_learning,cramers_v,0.016476927575479156,0.11943375441081582,0.22049308506612153,False,False
Race,skill__git,cramers_v,0.031635932796387524,1.9672042444100142e-05,0.00017394227003204337,True,False
Race,skill__hr_policies,cramers_v,0.018150130159712268,0.0637903456760335,0.14101023781017932,False,False
Race,skill__java,cramers_v,0.027055692363156955,0.0005558464093057533,0.0035916229524371747,True,False
Race,skill__leadership,cramers_v,0.014828738355385573,0.203897474322906,0.30860158275899285,False,False
Race,skill__machine_learning,cramers_v,0.009219090776387271,0.6817206680218262,0.7436952742056286,False,False
Race,skill__negotiation,cramers_v,0.0199916352483956,0.029016464586225987,0.08704939375867797,False,False
Race,skill__networking,cramers_v,0.021989536610161616,0.011007425153375529,0.04202835058561565,True,False
Race,skill__presentation,cramers_v,0.023428947581461683,0.005087869670702477,0.022493739596789897,True,False
Race,skill__python,cramers_v,0.027703414967020855,0.0003595039175210909,0.0025165274226476362,True,False
Race,skill__r,cramers_v,0.021921862150855946,0.011396932153039012,0.04254854670467898,True,False
Race,skill__recruitment,cramers_v,0.015550424060172359,0.1629708240632988,0.2658164897343126,False,False
Race,skill__scheduling,cramers_v,0.0054295761958207955,0.9389877868197957,0.9503008926850943,False,False
Race,skill__scrum,cramers_v,0.024040806842269453,0.003597797298165824,0.016789720724773846,True,False
Race,skill__sql,cramers_v,0.021155778089256054,0.016735221297966563,0.05456799604420209,False,False
Race,skill__statistics,cramers_v,0.022005829421711674,0.010915434697665493,0.04202835058561565,True,False
Race,skill__rare_,cramers_v,0.09753967231573,2.1467817177946438e-54,1.8032966429475007e-52,True,False
Race,skill_agile,cramers_v,0.013869613917826483,0.267975668409263,0.3815246804470864,False,False
Race,skill_aws,cramers_v,0.018893196324551612,0.04699290220467724,0.11971732884932779,False,False
Race,skill_budgeting,cramers_v,0.01657125143596135,0.11554493662777791,0.21810729610636728,False,False
Race,skill_c++,cramers_v,0.025714141390949536,0.0013185409789162165,0.007638444291652564,True,False
Race,skill_cold_calling,cramers_v,0.02540737326651958,0.001594690931362031,0.008930269215627373,True,False
Race,skill_communication,cramers_v,0.018091559030206886,0.06529946888198154,0.1424715684697779,False,False
Race,skill_conflict_resolution,cramers_v,0.014441606863123898,0.22844206524062874,0.3396306810657135,False,False
Race,skill_crm,cramers_v,0.014357617411284933,0.23400485204352578,0.3448492556430906,False,False
Race,skill_deep_learning,cramers_v,0.014997867377863362,0.193742641460748,0.29861251160922625,False,False
Race,skill_git,cramers_v,0.019643811721768864,0.03393489438313445,0.09662817383672183,False,False
Race,skill_hr_policies,cramers_v,0.02486691749078427,0.002214439874097424,0.011625809339011478,True,False
Race,skill_java,cramers_v,0.0137163369662706,0.2792147713999309,0.3921113855153942,False,False
Race,skill_leadership,cramers_v,0.01608425211988833,0.1366838041193663,0.2417145167584583,False,False
Race,skill_machine_learning,cramers_v,0.01741533088332164,0.08489748207623879,0.17184068661214597,False,False
Race,skill_negotiation,cramers_v,0.018452795470149337,0.056437203988950475,0.13612839710511113,False,False
Race,skill_networking,cramers_v,0.0049678769148632715,0.9554123391826296,0.9601022932016104,False,False
Race,skill_presentation,cramers_v,0.019019615700900015,0.044538350137757,0.11691316911161212,False,False
Race,skill_python,cramers_v,0.016779778142253194,0.107288536075586,0.20717786276664882,False,False
Race,skill_r,cramers_v,0.017821126791293707,0.07264620696289596,0.15646875345854513,False,False
Race,skill_recruitment,cramers_v,0.008428411946332003,0.7508322128199837,0.7983532389478307,False,False
Race,skill_scheduling,cramers_v,0.008474054724118583,0.7470033080855751,0.7983532389478307,False,False
Race,skill_scrum,cramers_v,0.011897731583026023,0.4306293984440973,0.5280710871431267,False,False
Race,skill_sql,cramers_v,0.008261452717017004,0.7646444770999006,0.807926239954612,False,False
Race,skill_statistics,cramers_v,0.022352756759117885,0.00911219299044066,0.037337766399854415,True,False
Age_Group,Gender,cramers_v,0.05486195792764337,4.726345061818918e-31,1.3233766173092977e-29,True,False
Age_Group,Race,cramers_v,0.04045246469690027,3.803765508956369e-29,7.987907568808375e-28,True,False
Age_Group,Education,cramers_v,0.027505296477722298,1.3178136842446065e-08,1.5813764210935278e-07,True,False
Age_Group,Job_Role_Applied,cramers_v,0.0179935961436538,0.004015688209549638,0.01823339511363079,True,False
Age_Group,Certifications,cramers_v,0.01725388755083054,0.00955606012085279,0.03822424048341116,True,False
Age_Group,Experience_Years,point_biserial_o-v-r,0.01809624766578638,0.002943066932881407,0.01498288620375989,True,False
Age_Group,Screening_Score,point_biserial_o-v-r,0.01051313791509834,0.08408641240475731,0.17184068661214597,False,False
Age_Group,skill__agile,cramers_v,0.021343876813645517,0.015253416582768709,0.051251479718102864,False,False
Age_Group,skill__aws,cramers_v,0.01249273855380515,0.377837340876191,0.477268220054136,False,False
Age_Group,skill__budgeting,cramers_v,0.015895955056133143,0.14557668975203442,0.24620383295046333,False,False
Age_Group,skill__c++,cramers_v,0.010401298817301364,0.5711233327606519,0.6527123802978878,False,False
Age_Group,skill__cold_calling,cramers_v,0.01601450998592613,0.13992995654851284,0.2445621883493027,False,False
Age_Group,skill__communication,cramers_v,0.012842584679140142,0.3481372596700435,0.4515262694281164,False,False
Age_Group,skill__conflict_resolution,cramers_v,0.010987300757670345,0.5153808526617447,0.6097463608955853,False,False
Age_Group,skill__crm,cramers_v,0.013181809720311357,0.3204377834203044,0.42725037789373915,False,False
Age_Group,skill__deep_learning,cramers_v,0.007075554843384844,0.8525424334177847,0.8733361513060234,False,False
Age_Group,skill__git,cramers_v,0.01625294632101954,0.12906113028987554,0.23567684661629443,False,False
Age_Group,skill__hr_policies,cramers_v,0.018369178466288813,0.05839556485278031,0.1381754210600999,False,False
Age_Group,skill__java,cramers_v,0.015973563062035154,0.1418618830517003,0.2445621883493027,False,False
Age_Group,skill__leadership,cramers_v,0.01851890670786582,0.05492725561427925,0.13570263151763107,False,False
Age_Group,skill__machine_learning,cramers_v,0.0242183228893691,0.0032469736037957723,0.016043869571696758,True,False
Age_Group,skill__negotiation,cramers_v,0.00481606874831179,0.9601022932016104,0.9601022932016104,False,False
Age_Group,skill__networking,cramers_v,0.015875861084409092,0.14654990056575198,0.24620383295046333,False,False
Age_Group,skill__presentation,cramers_v,0.018891237235134268,0.047031807762235915,0.11971732884932779,False,False
Age_Group,skill__python,cramers_v,0.019278858033841606,0.03983876723613192,0.1062367126296851,False,False
Age_Group,skill__r,cramers_v,0.010430346474432046,0.568357549974706,0.6527123802978878,False,False
Age_Group,skill__recruitment,cramers_v,0.019422568519890583,0.03741817016159885,0.10305332110079685,False,False
Age_Group,skill__scheduling,cramers_v,0.012223325494954399,0.40141574973187244,0.49586651437466595,False,False
Age_Group,skill__scrum,cramers_v,0.007731646477628682,0.8062709053445994,0.8413261620987125,False,False
Age_Group,skill__sql,cramers_v,0.017661576446524788,0.07728258331725996,0.1615835409897476,False,False
Age_Group,skill__statistics,cramers_v,0.02113697147947274,0.0168900940136816,0.05456799604420209,False,False
Age_Group,skill__rare_,cramers_v,0.053355181927176865,8.040226518738063e-16,1.0390446578061496e-14,True,False
Age_Group,skill_agile,cramers_v,0.01715510966640656,0.0935749270097296,0.18279753183296016,False,False
Age_Group,skill_aws,cramers_v,0.02174501686142043,0.012473098202317713,0.043655843708112,True,False
Age_Group,skill_budgeting,cramers_v,0.012367482072501223,0.38872758237403754,0.4837498802876911,False,False
Age_Group,skill_c++,cramers_v,0.011453280609938745,0.4715516655732427,0.5658619986878912,False,False
Age_Group,skill_cold_calling,cramers_v,0.009402352084916295,0.6649933885852644,0.7398601939226782,False,False
Age_Group,skill_communication,cramers_v,0.013538124893309363,0.2926140790419629,0.4041330940127849,False,False
Age_Group,skill_conflict_resolution,cramers_v,0.020484469009540197,0.023099492526284765,0.07055844989846982,False,False
Age_Group,skill_crm,cramers_v,0.010119711498559291,0.5978839072584581,0.6786790298609524,False,False
Age_Group,skill_deep_learning,cramers_v,0.015956738858287387,0.14266127653709326,0.2445621883493027,False,False
Age_Group,skill_git,cramers_v,0.0076249380724828985,0.8142145968311848,0.8443706930101176,False,False
Age_Group,skill_hr_policies,cramers_v,0.013526797783078791,0.29347760398547473,0.4041330940127849,False,False
Age_Group,skill_java,cramers_v,0.018232545040262147,0.06171494509897504,0.14101023781017932,False,False
Age_Group,skill_leadership,cramers_v,0.02182574656944128,0.01197114697782323,0.043655843708112,True,False
Age_Group,skill_machine_learning,cramers_v,0.014831433408774028,0.2037329450360483,0.30860158275899285,False,False
Age_Group,skill_negotiation,cramers_v,0.012827495301586373,0.34939532753366154,0.4515262694281164,False,False
Age_Group,skill_networking,cramers_v,0.01827120323829419,0.060760556779831894,0.14101023781017932,False,False
Age_Group,skill_presentation,cramers_v,0.011009223350115976,0.5133041931134654,0.6097463608955853,False,False
Age_Group,skill_python,cramers_v,0.014760671071056046,0.20808201060818463,0.312123015912277,False,False
Age_Group,skill_r,cramers_v,0.01269723611357482,0.3603434486761136,0.4621198425770007,False,False
Age_Group,skill_recruitment,cramers_v,0.010750704497901628,0.5378505816885757,0.631880403662103,False,False
Age_Group,skill_scheduling,cramers_v,0.016200437640147735,0.1313992460724633,0.2373663800018692,False,False
Age_Group,skill_scrum,cramers_v,0.026578142227173255,0.0007604993606831382,0.00456299616409883,True,False
Age_Group,skill_sql,cramers_v,0.018202674774986275,0.06246070659728691,0.14101023781017932,False,False
Age_Group,skill_statistics,cramers_v,0.0173399430921831,0.0873435095101472,0.1746870190202944,False,False
