sensitive,feature,metric,association,p_value,p_adj,significant_fdr_5pct,proxy_flag
Gender,skill_statistics,cramers_v,0.020442062902661325,0.003548067704873142,0.016789720724773846,True,False
Gender,skill__scheduling,cramers_v,0.01934972395227709,0.006380176420473633,0.02748383688819411,True,False
Gender,skill__crm,cramers_v,0.01914666003347071,0.007090304646364422,0.029779279514730573,True,False
Gender,skill_scrum,cramers_v,0.018032461257739236,0.012403328727127105,0.043655843708112,True,False
Gender,skill__negotiation,cramers_v,0.017765176226202453,0.014113548369177898,0.04838930869432422,True,False
Gender,skill__leadership,cramers_v,0.017256979049647035,0.01794677403102524,0.05688788749457058,False,False
Gender,skill__aws,cramers_v,0.017162509662334333,0.01875212008456066,0.058339929151966494,False,False
Gender,skill__machine_learning,cramers_v,0.016072596464097984,0.03057927396791668,0.09012838643175443,False,False
Gender,skill__java,cramers_v,0.015892826373674836,0.03304595676966026,0.09571932305694696,False,False
Gender,skill_presentation,cramers_v,0.015699679201087408,0.03588345279308205,0.10047366782062973,False,False
Gender,skill_cold_calling,cramers_v,0.015524508975749758,0.03863332180668293,0.1046838397342376,False,False
Gender,skill__recruitment,cramers_v,0.014309846414511692,0.06301276150746248,0.14101023781017932,False,False
Gender,skill_leadership,cramers_v,0.013780023297383783,0.07703448748141446,0.1615835409897476,False,False
Gender,skill__agile,cramers_v,0.013749741581744095,0.07790635012005688,0.1615835409897476,False,False
Race,skill__rare_,cramers_v,0.09753967231573,2.1467817177946438e-54,1.8032966429475007e-52,True,False
Race,Gender,cramers_v,0.05092686861086488,2.315069124710576e-26,3.8893161295138246e-25,True,False
Race,Age_Group,cramers_v,0.04045246469690027,3.803765508956369e-29,7.987907568808375e-28,True,False
Race,Education,cramers_v,0.03583467411365468,9.072536972703998e-17,1.3856238285584288e-15,True,False
Race,Experience_Years,point_biserial_o-v-r,0.034328037049598775,1.6801416794440635e-08,1.881758680977351e-07,True,False
Race,Certifications,cramers_v,0.032197299920044505,1.90024458825705e-16,2.6603424235598702e-15,True,False
Race,skill__git,cramers_v,0.031635932796387524,1.9672042444100142e-05,0.00017394227003204337,True,False
Race,skill__conflict_resolution,cramers_v,0.028538912334401253,0.0002012786345964535,0.0015370368460092812,True,False
Race,skill__python,cramers_v,0.027703414967020855,0.0003595039175210909,0.0025165274226476362,True,False
Race,skill__crm,cramers_v,0.0274349581620742,0.00043130262233244187,0.0028983536220740093,True,False
Race,skill__java,cramers_v,0.027055692363156955,0.0005558464093057533,0.0035916229524371747,True,False
Race,skill_c++,cramers_v,0.025714141390949536,0.0013185409789162165,0.007638444291652564,True,False
Race,skill_cold_calling,cramers_v,0.02540737326651958,0.001594690931362031,0.008930269215627373,True,False
Race,skill_hr_policies,cramers_v,0.02486691749078427,0.002214439874097424,0.011625809339011478,True,False
Race,Job_Role_Applied,cramers_v,0.024673256640786567,5.4770353411080233e-08,5.111899651700822e-07,True,False
Race,skill__scrum,cramers_v,0.024040806842269453,0.003597797298165824,0.016789720724773846,True,False
Race,skill__presentation,cramers_v,0.023428947581461683,0.005087869670702477,0.022493739596789897,True,False
Race,skill_statistics,cramers_v,0.022352756759117885,0.00911219299044066,0.037337766399854415,True,False
Race,skill__statistics,cramers_v,0.022005829421711674,0.010915434697665493,0.04202835058561565,True,False
Race,skill__networking,cramers_v,0.021989536610161616,0.011007425153375529,0.04202835058561565,True,False
Race,skill__r,cramers_v,0.021921862150855946,0.011396932153039012,0.04254854670467898,True,False
Race,Screening_Score,point_biserial_o-v-r,0.02186775882795688,0.0003262622114521509,0.002383132674954841,True,False
Race,skill__sql,cramers_v,0.021155778089256054,0.016735221297966563,0.05456799604420209,False,False
Race,skill__negotiation,cramers_v,0.0199916352483956,0.029016464586225987,0.08704939375867797,False,False
Race,skill_git,cramers_v,0.019643811721768864,0.03393489438313445,0.09662817383672183,False,False
